OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,IMPORT_STATUS,INDUSTRY_CLASS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,SUBMODEL,TLA,TRANSMISSION_TYPE,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
3511,SILVER,BOAT TRAILER,0,2005,8,0,NEW,MANUFACTURING,TRAILER,CUSTOMBUILT,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,ROTORUA DISTRICT,,TRAILER/CARAVAN,OTHER GOODS,2005
3512,RED,STATION WAGON,2982,2004,10,2215,USED,AGRICULTURE/FORESTRY/FISHING,TOYOTA,HILUX,DIESEL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,SURF ,TIMARU DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1994
3513,WHITE,STATION WAGON,1990,2007,7,1755,USED,PRIVATE,TOYOTA,CALDINA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,GT-T,WHANGAREI DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3514,RED,MOTORCYCLE,1340,1996,12,0,RE-REG,PRIVATE,HARLEY DAVIDSON,97 DYNA,PETROL,0,0,IMPORTED BUILT-UP,UNITED STATES,41,NONE,SUPERGLIDE,CENTRAL HAWKE'S BAY DISTRICT,,MOTORCYCLE,PRIVATE PASSENGER,1996
3515,SILVER,DOMESTIC TRAILER,0,2006,6,0,NEW,COMMERCIAL ROAD TRANSPORT,TRAILER,LUGGAGE,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,TAURANGA CITY,,TRAILER/CARAVAN,OTHER GOODS,2006
3516,WHITE,LIGHT VAN,2986,2005,2,2700,NEW,CONSTRUCTING,TOYOTA,HIACE,DIESEL,2,3,IMPORTED BUILT-UP,JAPAN,66,NONE,3.0D ZR VAN 5M,WELLINGTON CITY,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2005
3517,GREEN,HATCHBACK,1320,2004,8,1275,USED,PRIVATE,MAZDA,DEMIO,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,THAMES-COROMANDEL DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
3518,YELLOW,MOBILE MACHINE,4400,2006,7,13800,NEW,UNKNOWN,SAKAI,SV512D-E,DIESEL,0,0,IMPORTED BUILT-UP,JAPAN,0,NONE,,RUAPEHU DISTRICT,,MOBILE MACHINE,OTHER,2006
3519,WHITE,UTILITY,2499,2006,7,2868,NEW,PRIVATE,MAZDA,BOUNTY,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,86,NONE,D/C W/S 4WD SDX AB A,WHAKATANE DISTRICT,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2006
3520,SILVER,HATCHBACK,1339,2006,7,1490,NEW,PRIVATE,HONDA,JAZZ,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,61,NONE,1.3I 5D CVT HATCH,AUCKLAND,CONTINUOUSLY VARIABLE,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3521,BLUE,UTILITY,3984,2004,12,2740,NEW,PRIVATE,FORD,FALCON,PETROL,2,3,IMPORTED BUILT-UP,AUSTRALIA,175,NONE,BA XLS PICK UP FA,WAIMATE DISTRICT,4-GEAR AUTO,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2004
3522,GREY,LIGHT VAN,2400,2006,7,1575,NEW,PRIVATE,HONDA,ODYSSEY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,118,NONE,VTIL 7ST 2.4 5DR 5A,PALMERSTON NORTH CITY,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3523,GOLD,SALOON,1799,2006,7,1665,NEW,PRIVATE,HONDA,CIVIC,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,103,NONE,1.8S,CHRISTCHURCH CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3524,BLUE,HATCHBACK,1339,2006,7,1490,NEW,PRIVATE,HONDA,JAZZ,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,61,NONE,1.3I 5D CVT HATCH,WELLINGTON CITY,CONTINUOUSLY VARIABLE,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3525,GREY,SALOON,1988,2004,9,1605,USED,PRIVATE,TOYOTA,ALTEZZA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,HAMILTON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1999
3526,RED,SPORTS CAR,1600,1947,11,0,NEW,UNKNOWN,ROVER,16,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,NELSON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1947
3527,GREEN,SALOON,1600,1980,4,0,NEW,PRIVATE,VOLKSWAGEN,PASSAT,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1979
3528,BLUE,HATCHBACK,1960,2006,4,1495,USED,PRIVATE,FORD,FOCUS,PETROL,2,5,IMPORTED BUILT-UP,BELGIUM,0,JAPAN,GHIA,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
3529,SILVER,STATION WAGON,4163,2004,10,2490,NEW,PRIVATE,AUDI,ALLROAD,PETROL,0,7,IMPORTED BUILT-UP,GERMANY,220,NONE,4.2 V8 TIP,WAIMAKARIRI DISTRICT,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
3530,RED,SALOON,1998,2006,7,1665,NEW,PRIVATE,HONDA,CIVIC,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,114,NONE,2.0S,WHAKATANE DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3531,SILVER,SALOON,1995,2005,1,1775,NEW,PRIVATE,BMW,120I,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,110,NONE,120I 5 DOOR A E87,AUCKLAND,6-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3532,BLUE,SALOON,1166,1979,3,0,NEW,PRIVATE,TOYOTA,COROLLA,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,NELSON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1979
3533,BLUE,STATION WAGON,3984,2004,9,2635,NEW,PRIVATE,FORD,TERRITORY,PETROL,2,7,IMPORTED BUILT-UP,AUSTRALIA,182,NONE,TS AWD,LOWER HUTT CITY,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
3534,SILVER,SALOON,1998,2004,8,1970,USED,PRIVATE,NISSAN,CEFIRO,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,EXCIMO,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1995
3535,BLUE,SALOON,1998,2005,8,1674,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SEDAN GSX 2.0 AUTO,NEW PLYMOUTH DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3536,GREEN,UTILITY,2499,2005,9,2850,NEW,PRIVATE,FORD,COURIER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,82,NONE,2.5TD XLX CR W/S 4X4,DUNEDIN CITY,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2005
3537,SILVER,STATION WAGON,1990,2006,11,1685,USED,PRIVATE,SUBARU,LEGACY,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,BRIGHTON,DUNEDIN CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3538,GREY,DOMESTIC TRAILER,0,1996,5,0,NEW,UNKNOWN,TRAILER,DOMESTIC TRAILER,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,NEW PLYMOUTH DISTRICT,,TRAILER/CARAVAN,OTHER GOODS,1996
3539,WHITE,UTILITY,2499,2005,10,2720,NEW,PRIVATE,FORD,COURIER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,86,NONE,2.5TD XL CRW W/S 4X2,ROTORUA DISTRICT,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2005
3540,SILVER,HATCHBACK,1599,2006,2,1670,NEW,PRIVATE,KIA,RIO,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,82,NONE,1.6 HATCH AUTO,NELSON CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
