origintime,longitude,latitude,depth,magnitude
2019-09-2408:08:08.121,168.7698914,-45.22724467,271.25,3.088946765
2019-12-2521:03:40.950,177.3001862,-37.0291748,144.0809174,3.0893308
2019-08-0921:17:25.670,177.1900482,-38.7084198,33.11357498,3.089930266
2020-04-2607:25:19.737,173.9559174,-40.31126404,81.15390778,3.090114583
2019-12-1411:43:46.980,179.0739136,-36.95051193,12,3.090525594
2019-06-0202:22:16.085,176.215271,-38.66405487,69.79833984,3.091588085
2020-04-0512:37:07.252,178.5158997,-38.6292572,22.43951988,3.091888332
2020-04-0418:59:35.291,175.2332916,-40.65808868,28.13405418,3.092193874
2019-10-3023:39:55.701,172.634552,-43.40066147,19.41715431,3.092468378
2019-09-1213:06:58.379,178.4439697,-35.54708481,183.6743164,3.092721386
2019-06-0615:58:33.156,173.2036743,-43.28397369,21.54725838,3.09362742
2019-09-0707:00:46.329,176.7604828,-37.32166672,208.7371674,3.093913219
2019-10-2805:06:24.188,176.9273987,-37.85230637,2.951711178,3.09393768
2019-09-0522:05:58.390,175.8907166,-38.84734344,5,3.094099205
2019-10-1003:48:27.900,166.0669861,-46.60239792,5,3.094918961
2019-11-3012:53:51.985,174.7099457,-40.25667953,36.5364418,3.095075206
2019-10-1821:59:55.022,179.0666962,-37.24148178,12,3.095475591
2019-06-0414:20:03.140,176.1806488,-38.43986893,5,3.09548184
2019-08-2620:14:28.808,175.9885101,-38.94543076,81.76544952,3.095826639
2019-12-2313:05:17.049,168.2896271,-44.41183472,5,3.096551454
2019-08-1109:15:05.316,176.7384338,-39.62245178,23.79642677,3.096892146
2019-07-1023:50:16.379,177.5701447,-37.23917389,38.19094086,3.097026453
2019-08-1903:45:36.584,177.1074524,-36.7795639,215.3873444,3.097202657
2019-11-0306:39:07.979,173.7131958,-42.28612137,11.08165741,3.097912457
2019-11-3020:06:39.249,171.547226,-43.60653305,4.307820797,3.098449941
2019-06-2202:53:31.489,177.1562347,-37.51581192,6.360869884,3.098733725
2019-07-1015:35:13.317,173.5719452,-42.36388779,28.91002083,3.10024672
2019-08-1200:18:20.600,175.1973572,-40.88297272,21.39177132,3.100619483
2019-11-1112:22:01.875,-179.5389557,-37.24634552,33,3.101144216
2019-07-2519:21:30.131,174.6574097,-39.22636414,171.9569092,3.102182799
2020-05-1018:20:23.185,-179.9619293,-36.25253677,12,3.102648205
2019-09-1221:35:15.061,172.5105286,-41.71546936,5,3.102686105
2019-07-1810:37:42.434,177.6733246,-35.98141098,284.7737732,3.103059433
2020-03-2318:26:53.344,177.1828156,-36.63227844,13.88931656,3.103223222
2019-07-1700:45:24.600,167.2359314,-45.55581284,9.655738831,3.103452761
2020-03-0920:58:11.150,176.5066223,-40.24585342,25.126894,3.103555724
2020-02-2123:25:17.700,174.3366699,-41.56459045,8.368267059,3.103968988
2019-10-0707:51:29.689,165.8810272,-47.2305336,5,3.105261913
2020-04-2819:21:19.143,178.999527,-37.00658798,12,3.105653694
2019-07-3118:14:25.032,177.0252075,-37.81264877,5,3.10596671
2019-08-0908:28:46.706,167.4418488,-44.76559448,5,3.10609762
2020-02-1907:25:05.444,179.3584137,-35.77610397,12,3.106380957
2020-04-1810:50:39.706,176.2234955,-40.38284683,24.61098289,3.106445024
2019-06-0820:38:42.189,168.1526337,-44.34566879,5,3.106484527
2020-01-1515:59:07.111,179.5721588,-36.93958282,12,3.107033542
2019-09-2004:31:26.841,172.70755,-43.52360916,6.574670792,3.107273104
2019-09-0611:00:50.835,175.9377899,-38.85012054,5,3.107799014
2019-07-2605:02:58.685,178.3040771,-38.13312149,12.91745472,3.108459175
2019-08-1509:51:49.835,167.8695221,-44.52950668,5,3.108883645
2019-06-3017:55:13.012,177.5855865,-39.29784775,23.11279488,3.109852511
2019-08-2019:06:16.500,176.7749786,-37.42107773,157.2472839,3.109883359
2020-03-1807:27:53.101,178.2158661,-35.72682571,193.3779907,3.109905002
2019-06-1920:13:13.569,177.1474609,-37.53307724,6.801900387,3.110197695
2019-06-1917:35:14.745,177.1292114,-37.5245018,5,3.110375703
2019-10-2712:37:09.169,176.0226593,-38.79903793,5,3.11095593
2019-06-0816:45:50.967,168.1751404,-44.35917282,5,3.111010854
2020-05-2604:13:49.415,174.9674835,-40.42872238,28.87750626,3.111286842
2019-06-1922:36:59.833,177.1649933,-37.53346634,4.432208538,3.111302242
2019-08-2200:33:55.128,178.6579132,-38.64304733,24.66440773,3.111626281
2019-09-0705:51:23.396,177.6186829,-42.06864929,33,3.112002701
2019-06-1203:22:57.817,178.1553497,-35.1149025,12,3.112441325
2019-06-0121:10:09.656,176.6004028,-37.3765564,186.0440979,3.112627859
2020-02-1210:59:09.784,-179.8600311,-35.95159149,33,3.112741607
2020-05-2909:41:36.998,174.9453583,-40.45884705,26.5516777,3.112790944
2020-01-2919:53:00.078,178.6102905,-38.63425064,33,3.112845181
2020-05-2401:06:59.988,177.5655365,-36.9507637,12,3.11297707
2020-02-0418:57:34.463,172.335144,-41.41894913,5,3.11341843
2019-10-1511:46:31.955,166.365036,-45.22158051,10.70402622,3.113583022
2020-04-0518:18:36.224,176.3692017,-35.57577896,527.0062866,3.113721494
2020-03-0223:32:35.501,175.6000214,-39.91636658,32.59496689,3.11388511
2019-07-1415:26:23.579,175.8865662,-38.84234238,5,3.114173978
2020-04-1204:03:21.730,170.8780975,-43.82625961,5,3.114380586
2019-12-2010:20:18.995,172.8994293,-42.06116104,61.53248215,3.114900613
2019-07-2100:39:40.162,178.9326019,-37.22210693,12,3.115222926
2019-12-2613:44:58.262,178.8056488,-37.04488373,12,3.116224759
2019-08-1216:48:07.590,167.8595276,-44.55454254,10.76318359,3.116349181
2019-12-1708:11:17.267,177.908844,-41.65044403,12,3.117548422
2019-12-1902:30:55.603,174.1369781,-41.84545135,9.82381916,3.117945798
2020-05-2701:37:40.243,174.9755859,-40.43525314,28.10996056,3.118427625
2019-08-0213:25:20.690,176.1737823,-40.57130051,16.69517517,3.118584114
2020-03-1014:09:50.347,179.3738556,-37.5725174,12,3.118896932
2019-12-2615:18:25.213,179.8129883,-34.71802139,264.1166992,3.11895447
2019-08-2219:31:18.678,166.4027252,-45.44152451,5,3.119273247
2020-03-2223:06:33.713,175.9171753,-38.97707367,60.94270325,3.119615014
2019-09-1107:59:49.583,177.6180115,-36.77474594,162.324173,3.119859179
2019-07-1407:03:59.990,175.8862,-38.83424377,7.32741642,3.120199849
2020-05-2421:31:46.931,174.968277,-40.46383286,29.58958817,3.120343801
